supplyx,supplyy,demandx,demandy,cap
276.0337871,182.934667,313.9684323,77.7613836,151.1259836
375.90476,102.0335364,577.3764736,36.39194795,168.6676683
318.1104815,132.9251591,551.2896253,52.3715981,143.9343218
117.9353897,154.9700588,619.6731463,98.93810348,41.83035955
569.9794271,165.3646002,309.3734006,58.8208746,25.16363713
193.6158821,118.0593032,649.3432667,38.50521106,98.33278739
35.70235456,132.8061812,613.5420186,52.0131307,188.5058729
275.1664352,164.8679343,697.3248862,89.01410345,52.19727572
202.0142865,180.4613697,160.24882,83.28636626,125.203487
179.5171125,148.7025816,350.5888825,23.93694273,72.78817471
68.99184206,148.0197818,19.24824105,43.91566719,165.7830067
472.5668353,176.3376441,54.33822763,77.87271338,170.75977
327.3202383,182.9183724,572.7630401,62.22153539,153.53258
0.659761114,125.4346859,521.3680488,62.3280216,74.08289628
158.0093023,191.4935734,680.7535738,29.28197614,78.43854748
78.40884074,114.472092,394.8985456,26.50621083,176.9618953
481.2241275,148.2942976,364.8802935,6.367830972,91.41584461
687.7957948,142.6534662,213.5372442,1.371894455,154.4612578
524.7317601,157.0216095,264.4161485,69.84738616,40.29903754
431.7849458,144.5893865,546.597818,5.424113783,65.85659495
130.5181462,178.0180131,504.7803145,51.75842225,73.46214406
332.4119623,126.8783703,545.8736582,71.20229167,72.08034789
278.5012637,118.7420747,307.8390695,82.98368987,164.5709911
290.7445877,112.8305137,509.5569769,47.97325462,196.3078612
309.1598055,186.5844368,52.63084577,36.22723322,63.16575969
559.9513342,182.5981971,429.3237667,13.90686871,63.78541575
480.1027076,137.5671614,249.2381709,41.79064145,57.37086089
28.8696991,187.0042644,398.6321346,64.77683948,76.88547145
452.0251286,107.133013,41.68131033,45.4651705,180.9939738
334.4419084,150.75,371.4025004,97.0869067,96.36052618
503.0663242,109.3299637,578.2839223,89.2362799,158.5584516
182.5638857,191.1607512,186.0207593,28.98638941,94.75499889
150.70091,156.1175802,443.5139207,51.7169061,121.718922
246.9042022,171.2526742,484.2265247,32.06963721,76.07993571
202.9736526,150.94507,384.259534,67.25274213,40.60509424
465.1453089,147.8652188,6.571990874,56.84187048,112.7268563
1.450234948,186.8202358,282.0237273,46.96363044,98.12687959
266.9631205,119.0805802,502.0490386,21.25024455,86.51094072
624.760432,138.1983435,469.6892849,70.17843475,77.71698495
423.3270447,198.2891616,691.6295047,62.08638686,21.88453094
357.5003132,168.9242247,516.2277827,8.841881849,74.31566107
474.8317269,140.7117402,145.173927,5.134370691,68.51033619
617.9572733,181.1159099,527.7465508,59.79707355,190.4948424
383.0433869,187.5365605,461.2012346,7.9399978,169.8814459
626.9519604,159.5137433,215.3477355,70.80328721,71.7596294
443.9530993,127.362267,650.2029706,18.27260788,32.09776881
676.6134803,154.1398676,18.19861151,49.84418345,118.5147145
650.8687136,164.4493875,619.2633061,78.91728364,70.29603449
382.5508317,166.4398317,187.7716743,39.08210233,106.3590255
451.6286549,198.9730498,441.2591203,80.31178256,164.9344968
272.1388502,106.729645,305.5343511,21.89375869,177.7473994
633.5741239,174.8613546,204.6492533,48.05018443,79.01887647
625.3469074,147.7760267,371.4043485,10.56793319,28.24178446
244.4258022,185.8002788,238.5391634,42.09741918,45.99249065
366.0790156,198.0312571,149.7136473,50.36273358,108.7657595
692.576213,129.6761631,37.78038778,93.09011374,57.184237
216.2909006,102.3024049,203.2335087,5.831690067,54.78017855
247.1115199,161.0359233,448.480905,67.3108772,47.78169182
122.9129669,139.7675793,533.029293,17.97730899,102.4381681
57.55441353,172.2233716,646.0413258,62.46309076,31.7562535
135.1399457,139.7582988,362.8257039,56.41540554,68.34086784
104.5795159,184.0130192,391.1247775,84.51351405,22.49480093
369.0821186,180.1222269,48.40067811,5.727573423,140.0719013
263.2258276,160.4780668,356.3774926,28.34113431,33.98601092
441.8634267,159.2070407,657.6139765,18.81513077,76.1043767
430.8924186,117.7848072,188.4085072,82.11585022,68.71622684
504.333543,190.8605307,82.96561586,39.53546787,178.6729834
639.5473283,144.5500435,564.4560279,17.92883154,24.33718605
